4T9-0D4SnMk realGap=13 cov=0.49
YzI6qI-33_U realGap=12 cov=0.42
-PSQS88VdZU realGap=12 cov=0.48
bRMHNmDMLqw realGap=12 cov=0.48
k4T6TJGOSA0 realGap=12 cov=0.72
cKeN_oR3VEA realGap=11 cov=0.58
H0Fln-ujA3w realGap=10 cov=0.44
_j8aiuqS4_0 realGap=10 cov=0.47
C6vYlx-lS6g realGap=10 cov=0.56
rk_9n_Kj6EE realGap=9 cov=0.27
i8G7wozMNcU realGap=9 cov=0.52
bXAHcPB2hEk realGap=9 cov=0.61
8wVtlbPj9bo realGap=9 cov=0.78
knRe3EsANdg realGap=8 cov=0.36
EiH21nGiRGs realGap=8 cov=0.42
MmF7dhysiAQ realGap=8 cov=0.44
MMELgpZ4CeQ realGap=8 cov=0.46
OE2pJpVVzYw realGap=8 cov=0.62
gyOxMMJWiYg realGap=8 cov=0.62
BzN6MEleBlQ realGap=7 cov=0.6
8urm2D1HhX8 realGap=7 cov=0.66
475QvJRimkI realGap=7 cov=0.79
rMNFLg1gLoI realGap=7 cov=0.81
Gti01VN0zXA realGap=6 cov=0.73
nSASokndzVQ realGap=6 cov=0.75
r7W4yl6y29c realGap=6 cov=0.8
MvaAX4pTvYU realGap=6 cov=0.87
ngKFZPlhP2c realGap=5 cov=0.51
INCkZzSMk98 realGap=5 cov=0.6
1671V8LrEwk realGap=5 cov=0.64
KwbAHRLJ1RY realGap=5 cov=0.74
ktoa6lk6qNk realGap=5 cov=0.77
tWGrKGoNNEA realGap=5 cov=0.84
fz9td9L2uIo realGap=5 cov=0.85
uJro3yCDEgk realGap=5 cov=0.89
FozbGMUOOjs realGap=4 cov=0.43
kO4qTTR0B7o realGap=4 cov=0.64
rkoC8ZlqOII realGap=4 cov=0.78
358seoKegqA realGap=4 cov=0.81
rgLTiUZAWQY realGap=4 cov=0.82
2Mys0GRUgM4 realGap=4 cov=0.85
Q0CTfDwnd3A realGap=4 cov=0.86
ukVf_JfGTOw realGap=4 cov=0.86
8QxDmN_BMaU realGap=3 cov=0.43
KV90PAgPO2A realGap=3 cov=0.48
o29kg7LLAVg realGap=3 cov=0.64
vtY88mBc088 realGap=3 cov=0.64
3Qw4AL8RDOw realGap=3 cov=0.75
untay_co3oY realGap=3 cov=0.78
0npOMfkAlVU realGap=3 cov=0.84
QOb_ElHrC14 realGap=3 cov=0.84
zEqoGIgzk1E realGap=3 cov=0.85
zhfOsKtD2vk realGap=3 cov=0.9
9JUlD51s6zE realGap=3 cov=0.91
9qWUk9eDpTg realGap=3 cov=0.91
nkDlJMpLezk realGap=1 cov=0.65
NqtT3roFaBs realGap=1 cov=0.69
ieznxMQccW0 realGap=0 cov=0.63
lryqtSMy4pY realGap=0 cov=0.74
